timestamp,data
2026-02-02T14:34:04.632,gyro  -0.054225 0.008260 -0.008793 rad/s
2026-02-02T14:34:04.737,[0:13:05.545]:24.8941 Cel
2026-02-02T14:34:04.740,accel 8.209717 -0.086192 6.931213 m/s/s
2026-02-02T14:34:04.744,gyro  -0.055024 0.010125 -0.009725 rad/s
2026-02-02T14:34:04.848,[0:13:05.656]:24.8 Cel
2026-02-02T14:34:04.852,accel 8.147468 -0.064644 6.928819 m/s/s
2026-02-02T14:34:04.856,gyro  -0.057422 0.009459 -0.009725 rad/s
2026-02-02T14:34:04.960,[0:13:05.768]:24.7529 Cel
2026-02-02T14:34:04.963,accel 8.176198 -0.026337 6.967126 m/s/s
2026-02-02T14:34:04.967,gyro  -0.057289 0.008660 -0.011990 rad/s
2026-02-02T14:34:05.071,[0:13:05.880]:24.8 Cel
2026-02-02T14:34:05.075,accel 8.207323 -0.122105 6.979097 m/s/s
2026-02-02T14:34:05.079,gyro  -0.055290 0.013989 -0.010258 rad/s
2026-02-02T14:34:05.183,[0:13:05.991]:24.8471 Cel
2026-02-02T14:34:05.187,accel 8.202534 -0.071827 7.000645 m/s/s
2026-02-02T14:34:05.190,gyro  -0.053958 0.006395 -0.010658 rad/s
2026-02-02T14:34:05.294,[0:13:06.103]:24.8 Cel
2026-02-02T14:34:05.298,accel 8.188169 -0.117316 7.041347 m/s/s
2026-02-02T14:34:05.302,gyro  -0.056490 0.010791 -0.010525 rad/s
2026-02-02T14:34:05.406,[0:13:06.214]:24.8471 Cel
2026-02-02T14:34:05.410,accel 8.183381 -0.055067 7.017405 m/s/s
2026-02-02T14:34:05.413,gyro  -0.059687 0.008660 -0.013456 rad/s
2026-02-02T14:34:05.517,[0:13:06.326]:24.8 Cel
2026-02-02T14:34:05.521,accel 8.140285 -0.064644 6.991068 m/s/s
2026-02-02T14:34:05.525,gyro  -0.056356 0.010525 -0.012390 rad/s
2026-02-02T14:34:05.629,[0:13:06.437]:24.8471 Cel
2026-02-02T14:34:05.633,accel 8.226476 -0.081403 7.058106 m/s/s
2026-02-02T14:34:05.637,gyro  -0.055290 0.005995 -0.009725 rad/s
2026-02-02T14:34:05.740,[0:13:06.549]:24.8 Cel
2026-02-02T14:34:05.744,accel 8.106766 -0.100557 6.945579 m/s/s
2026-02-02T14:34:05.748,gyro  -0.056490 0.015454 -0.009992 rad/s
2026-02-02T14:34:05.852,[0:13:06.660]:24.7529 Cel
2026-02-02T14:34:05.856,accel 8.243236 -0.122105 7.029376 m/s/s
2026-02-02T14:34:05.860,gyro  -0.055424 0.011324 -0.009725 rad/s
2026-02-02T14:34:05.964,[0:13:06.772]:24.8941 Cel
2026-02-02T14:34:05.968,accel 8.173804 -0.086192 7.026981 m/s/s
2026-02-02T14:34:05.971,gyro  -0.057422 0.008526 -0.009859 rad/s
2026-02-02T14:34:06.075,[0:13:06.884]:24.8 Cel
2026-02-02T14:34:06.079,accel 8.173804 -0.107740 7.077260 m/s/s
2026-02-02T14:34:06.083,gyro  -0.055690 0.013456 -0.009326 rad/s
2026-02-02T14:34:06.187,[0:13:06.995]:24.8471 Cel
2026-02-02T14:34:06.191,accel 8.164227 -0.043096 6.971915 m/s/s
2026-02-02T14:34:06.195,gyro  -0.058088 0.009326 -0.009725 rad/s
2026-02-02T14:34:06.298,[0:13:07.107]:24.8 Cel
2026-02-02T14:34:06.302,accel 8.204929 -0.095769 6.993463 m/s/s
2026-02-02T14:34:06.306,gyro  -0.057955 0.014388 -0.009592 rad/s
2026-02-02T14:34:06.410,[0:13:07.218]:24.8471 Cel
2026-02-02T14:34:06.414,accel 8.207323 -0.067038 7.082048 m/s/s
2026-02-02T14:34:06.418,gyro  -0.057156 0.006928 -0.009192 rad/s
2026-02-02T14:34:06.522,[0:13:07.330]:24.8941 Cel
2026-02-02T14:34:06.526,accel 8.188169 -0.076615 7.010222 m/s/s
2026-02-02T14:34:06.529,gyro  -0.055290 0.009592 -0.010525 rad/s
2026-02-02T14:34:06.634,[0:13:07.442]:24.8471 Cel
2026-02-02T14:34:06.637,accel 8.140285 -0.122105 7.022193 m/s/s
2026-02-02T14:34:06.641,gyro  -0.055957 0.009192 -0.011724 rad/s
2026-02-02T14:34:06.745,[0:13:07.554]:24.8941 Cel
2026-02-02T14:34:06.749,accel 8.202534 -0.083798 6.995857 m/s/s
2026-02-02T14:34:06.753,gyro  -0.056623 0.009326 -0.008793 rad/s
2026-02-02T14:34:06.857,[0:13:07.665]:24.8941 Cel
2026-02-02T14:34:06.861,accel 8.233659 -0.083798 6.971915 m/s/s
2026-02-02T14:34:06.865,gyro  -0.056756 0.009192 -0.011857 rad/s
2026-02-02T14:34:06.969,[0:13:07.777]:24.8471 Cel
2026-02-02T14:34:06.972,accel 8.190563 -0.136470 7.079654 m/s/s
2026-02-02T14:34:06.976,gyro  -0.055290 0.009725 -0.007860 rad/s
2026-02-02T14:34:07.080,[0:13:07.889]:24.8941 Cel
2026-02-02T14:34:07.084,accel 8.149862 -0.081403 7.012616 m/s/s
2026-02-02T14:34:07.088,gyro  -0.054758 0.009059 -0.008793 rad/s
2026-02-02T14:34:07.192,[0:13:08.000]:24.8941 Cel
2026-02-02T14:34:07.196,accel 8.214505 -0.095769 7.010222 m/s/s
2026-02-02T14:34:07.200,gyro  -0.055424 0.012124 -0.009192 rad/s
2026-02-02T14:34:07.304,[0:13:08.112]:24.8471 Cel
2026-02-02T14:34:07.307,accel 8.195352 -0.090980 7.065289 m/s/s
2026-02-02T14:34:07.311,gyro  -0.056490 0.005329 -0.009459 rad/s
2026-02-02T14:34:07.415,[0:13:08.224]:24.8 Cel
2026-02-02T14:34:07.419,accel 8.185775 -0.043096 7.003039 m/s/s
2026-02-02T14:34:07.423,gyro  -0.056490 0.009459 -0.008526 rad/s
2026-02-02T14:34:07.527,[0:13:08.335]:24.8471 Cel
2026-02-02T14:34:07.531,accel 8.161833 -0.100557 6.991068 m/s/s
2026-02-02T14:34:07.534,gyro  -0.056889 0.007727 -0.009192 rad/s
2026-02-02T14:34:07.639,[0:13:08.447]:24.8941 Cel
2026-02-02T14:34:07.642,accel 8.157045 -0.119711 7.103596 m/s/s
2026-02-02T14:34:07.646,gyro  -0.057422 0.006661 -0.008926 rad/s
2026-02-02T14:34:07.750,[0:13:08.559]:24.8471 Cel
2026-02-02T14:34:07.754,accel 8.149862 -0.014366 6.988674 m/s/s
2026-02-02T14:34:07.758,gyro  -0.056889 0.010392 -0.012257 rad/s
2026-02-02T14:34:07.862,[0:13:08.670]:24.8471 Cel
2026-02-02T14:34:07.866,accel 8.216900 -0.110134 7.029376 m/s/s
2026-02-02T14:34:07.870,gyro  -0.057555 0.009592 -0.010658 rad/s
2026-02-02T14:34:07.973,[0:13:08.782]:24.8 Cel
2026-02-02T14:34:07.977,accel 8.147468 -0.122105 7.048529 m/s/s
2026-02-02T14:34:07.981,gyro  -0.056090 0.007860 -0.009725 rad/s
2026-02-02T14:34:08.085,[0:13:08.894]:24.8471 Cel
2026-02-02T14:34:08.089,accel 8.145074 -0.067038 7.098807 m/s/s
2026-02-02T14:34:08.093,gyro  -0.056356 0.008926 -0.008793 rad/s
2026-02-02T14:34:08.197,[0:13:09.005]:24.8941 Cel
2026-02-02T14:34:08.201,accel 8.192958 -0.102951 6.979097 m/s/s
2026-02-02T14:34:08.204,gyro  -0.058888 0.010125 -0.009459 rad/s
2026-02-02T14:34:08.309,[0:13:09.117]:24.9412 Cel
2026-02-02T14:34:08.312,accel 8.214505 -0.162806 7.022193 m/s/s
2026-02-02T14:34:08.316,gyro  -0.053958 0.009459 -0.007860 rad/s
2026-02-02T14:34:08.420,[0:13:09.229]:24.8941 Cel
2026-02-02T14:34:08.424,accel 8.169016 -0.055067 6.998251 m/s/s
2026-02-02T14:34:08.428,gyro  -0.057822 0.005728 -0.008260 rad/s
2026-02-02T14:34:08.532,[0:13:09.340]:24.8471 Cel
2026-02-02T14:34:08.536,accel 8.133103 -0.086192 6.945579 m/s/s
2026-02-02T14:34:08.539,gyro  -0.054758 0.007993 -0.010791 rad/s
2026-02-02T14:34:08.643,[0:13:09.452]:24.8 Cel
2026-02-02T14:34:08.647,accel 8.204929 -0.100557 7.065289 m/s/s
2026-02-02T14:34:08.651,gyro  -0.055024 0.008660 -0.008260 rad/s
2026-02-02T14:34:08.755,[0:13:09.564]:24.8941 Cel
2026-02-02T14:34:08.759,accel 8.171410 -0.114922 7.077260 m/s/s
2026-02-02T14:34:08.763,gyro  -0.056090 0.009859 -0.013456 rad/s
2026-02-02T14:34:08.867,[0:13:09.675]:24.8471 Cel
2026-02-02T14:34:08.871,accel 8.204929 -0.090980 7.000645 m/s/s
2026-02-02T14:34:08.874,gyro  -0.057022 0.012523 -0.008393 rad/s
2026-02-02T14:34:08.978,[0:13:09.787]:24.8 Cel
2026-02-02T14:34:08.982,accel 8.161833 -0.064644 7.019799 m/s/s
2026-02-02T14:34:08.986,gyro  -0.056756 0.007061 -0.009326 rad/s
2026-02-02T14:34:09.090,[0:13:09.898]:24.8471 Cel
2026-02-02T14:34:09.094,accel 8.178592 -0.071827 7.010222 m/s/s
2026-02-02T14:34:09.098,gyro  -0.055823 0.009992 -0.011191 rad/s
2026-02-02T14:34:09.202,[0:13:10.010]:24.8471 Cel
2026-02-02T14:34:09.205,accel 8.255207 -0.031125 7.034164 m/s/s
2026-02-02T14:34:09.209,gyro  -0.056090 0.008660 -0.013056 rad/s
2026-02-02T14:34:09.313,[0:13:10.122]:24.8 Cel
